product_name,category,old_price,price,discount_percentage,product_url,image_url,source_page,page_number,raw_text
KENWOOD KITCHEN KHH01.000SI+BL...,Autre,2999.0,2199.0,26,https://www.electroplanet.ma/p3076875-kitchen-khh01-000si-blender-blp15-150wh-kenwood.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,KENWOOD KITCHEN KHH01.000SI+BL... Promo Prix normal 2 999 DH Prix Spécial 2 199 DH -26% Ajouter au panier
TEFAL BATTERIE DE CUISINE IN...,Cuisine,1299.0,899.0,30,https://www.electroplanet.ma/p3105324-batterie-de-cuisine-ingenio-6p-noir-tefal.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,TEFAL BATTERIE DE CUISINE IN... Promo Prix normal 1 299 DH Prix Spécial 899 DH -30% Ajouter au panier
KENWOOD AIRFRYER HFP45.000BK 4...,Cuisine,889.0,699.0,21,https://www.electroplanet.ma/p3122328-airfryer-hfp45-000bk-4-5l-kenwood.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,KENWOOD AIRFRYER HFP45.000BK 4... Promo Prix normal 889 DH Prix Spécial 699 DH -21% Ajouter au panier
OPPO SMART A5X LASER WHITE ...,Téléphone,1599.0,1449.0,9,https://www.electroplanet.ma/p3104952-smart-a5x-laser-white-4g-128g-oppo.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,OPPO SMART A5X LASER WHITE ... Promo Prix normal 1 599 DH Prix Spécial 1 449 DH -9% Ajouter au panier
OPPO SMART A5 MIST WHITE 8G...,Téléphone,2499.0,2299.0,8,https://www.electroplanet.ma/p3104955-smart-a5-mist-white-8g-256g-oppo.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,OPPO SMART A5 MIST WHITE 8G... Promo Prix normal 2 499 DH Prix Spécial 2 299 DH -8% Ajouter au panier
OPPO SMART A5 AURORA GREEN ...,Téléphone,1999.0,1849.0,7,https://www.electroplanet.ma/p3104954-smart-a5-aurora-green-6g-128g-oppo.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,OPPO SMART A5 AURORA GREEN ... Promo Prix normal 1 999 DH Prix Spécial 1 849 DH -7% Ajouter au panier
OPPO SMART A5 MIST WHITE 6G...,Téléphone,1999.0,1849.0,7,https://www.electroplanet.ma/p3104953-smart-a5-mist-white-6g-128g-oppo.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,OPPO SMART A5 MIST WHITE 6G... Promo Prix normal 1 999 DH Prix Spécial 1 849 DH -7% Ajouter au panier
OPPO SMART A5 AURORA GREEN ...,Téléphone,2499.0,2299.0,8,https://www.electroplanet.ma/p3104956-smart-a5-aurora-green-8g-256g-oppo.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,OPPO SMART A5 AURORA GREEN ... Promo Prix normal 2 499 DH Prix Spécial 2 299 DH -8% Ajouter au panier
OPPO SMART A5X MIDNIGHT BL...,Téléphone,1599.0,1449.0,9,https://www.electroplanet.ma/p3104951-smart-a5x-midnight-blue-4g-128g-oppo.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,OPPO SMART A5X MIDNIGHT BL... Promo Prix normal 1 599 DH Prix Spécial 1 449 DH -9% Ajouter au panier
"SOLAC BLENDER TOWER 1,5L + M...",Autre,899.0,599.0,33,https://www.electroplanet.ma/p3122200-blender-tower-1-5l-mixeur-plong-prochef-solac.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,"SOLAC BLENDER TOWER 1,5L + M... Promo 100% (1) Prix normal 899 DH Prix Spécial 599 DH -33% Ajouter au panier"
